Company,Title,Location,Salary
"City of Dallas, TX",Data Science Analyst II (Dallas Police),"Dallas, TX 75201 (Government District area)+1 location","$63,565 - $79,457 a year"
Raag Solutions,AI/ML Professional,"Irving, TX•Temporarily Remote","$95,000 a year"
OnPoint,Senior Data Engineer,"Dallas, TX 75201","$90,000 - $160,000 a year"
HCL America Inc,Artificial Intelligence/ML Developer/Architect,"Plano, TX","$67,306 - $150,099 a year"
"Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,"Houston, TX","$114,700 a year"
Houston Food Bank,Senior Data Analyst I,"Houston, TX 77026 (Eastex - Jensen Area area)","Up to $100,000 a year"
Computer Staff,"Data Engineer, Python","Houston, TX","$95,000 - $135,000 a year"
"Amazon Web Services, Inc.",Sr. Data & ML Engineer,"Miami, FL","$122,300 a year"
University of Miami Miller School of Medicine,Postdoctoral Research Associate in Artificial Intelligence-D...,"Miami, FL 33136 (Allapattah area)","$50,000 - $55,000 a year"
Kelly,Sr. Data Analyst - Direct Hire,"Miami, FL 33135 (West Flagler area)","$125,000 a year"
S&P Global,Lead Data Scientist,"Portland, OR 97201 (Homestead area)•Remote","$67,600 - $190,100 a year"
Upgrade,Data Scientist/ Sr. Data Scientist,"Phoenix, AZ 85004 (Central City area)","$100,000 - $160,000 a year"
Childhelp,"Sr. HR Data Analyst, Human Resources","Chandler, AZ+5 locations","Up to $90,000 a year"
Arizona State University,newResearch Data Scientist,"Scottsdale, AZ 85257 (South Scottsdale area)","$60,000 - $80,000 a year"
"Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,"Phoenix, AZ","$114,700 a year"
Health Choice Arizona,Senior Data Analyst,"Phoenix, AZ 85008 (Camelback East area)","Up to $65,000 a year"
"AskReply, Inc.",Senior Data Analyst,"Phoenix, AZ 85012 (Alhambra area)","From $60,000 a year"
Harnham,Senior Machine Learning Engineer,"Phoenix, AZ","$150,000 - $170,000 a year"
Harnham,Senior Data Scientist,"Phoenix, AZ","$130,000 - $170,000 a year"
Tri-Search,newJava Developers (Machine Learning Team),"Phoenix, AZ","$110,000 - $180,000 a year"
"City of Dallas, TX",newDBI-Data Science Analyst I (Non-Civil Service),"Dallas, TX 75201 (Government District area)+1 location","$57,656 - $72,070 a year"
Dallas Independent School District,"Analyst I, Statistical (226 Days) REVISED","Dallas, TX","$76,031 a year"
Trust Technologies LLC,AI Machine Learning Engineer,"Irving, TX•Temporarily Remote","Up to $105,000 a year"
Insight Global,Machine Learning Engineer/MLops,"Houston, TX","$120,000 - $180,000 a year"
WALTLabs.io,newData Scientist,"Spring, TX","$72,000 - $90,000 a year"
Xecta,Senior Data Engineer,"Houston, TX","$100,000 - $150,000 a year"
Statistical Vision,Natural Language Programming Specialist,"Houston, TX 77043 (Spring Branch West area)•Temporarily Remote","$60,000 - $100,000 a year"
Warman O'Brien,Senior Statistician - Innovative Biopharma - USA,United States•Temporarily Remote,"$75,688 - $149,805 a year"
Interos,"newSenior Software Engineer, Data","Houston, TX","$95,257 - $110,210 a year"
Warman O'Brien,Principal Statistician - Global CRO - Homebased anywhere in...,Texas•Remote,"$120,000 - $150,000 a year"
SOFTEK,Data Scientist,"Woodlawn, MD 21207","$100,000 - $150,000 a year"
EvalCommunity,Data Scientist,"Baltimore, MD","$48,000 - $54,000 a year"
"Prodigy One, LLC",Data Scientist III,"Annapolis Junction, MD","$178,000 - $193,000 a year"
Johns Hopkins University,newSr. Research Data Analyst,"Baltimore, MD 21224 (Bayview area)+1 location","$52,494 - $72,212 a year"
Stratum Networks,Data Scientist - Junior/Mid-Level,"Fort Meade, MD+1 location","$162,000 a year"
Stratum Networks,Data Scientiest - Junior/Mid-Level,"Fort Meade, MD","$162,000 a year"
S&P Global,Lead Data Scientist,"Annapolis, MD 21401•Remote","$67,600 - $190,100 a year"
"GVT, LLC",Support Scientist for GPSRO Data Assimilation,"Greenbelt, MD 20771","$65,000 - $80,000 a year"
Stratum Networks,Data Scientist - Level 3,"Fort Meade, MD","$150,000 a year"
"Baltimore County, MD",BCSTAT Senior Data Analyst - Non-Merit,"Towson, MD 21204","$90,000 - $110,000 a year"
"Baltimore County, MD",Statistical Analyst,"Towson, MD 21204","$52,400 - $65,267 a year"
State of Maryland,RESEARCH STATISTICIAN IV (Education Research & Evaluation Sp...,"Baltimore, MD 21201 (Downtown area)","$50,971 - $81,596 a year"
Thomas Solutions Incorporated,Incentives and Proficiency Data Analyst - Senior LREC,United States,"$60,000 - $75,000 a year"
JM Talent Inc.,Sr. Data Science Developer / Analyst,Maryland•Remote,"From $100,000 a year"
Well Data Labs,Data Scientist,"Denver, CO","$100,000 - $130,000 a year"
ARGUS International Inc.,newSENIOR DATA SCIENTIST,"Denver, CO•Remote","$70,000 - $130,000 a year"
Ibotta,"Associate Decision Scientist, Data & Media","Denver, CO 80202 (Central Business District area)•Remote","$60,000 - $70,000 a year"
Nordstrom Inc,Data Scientist - Operations Research (CPLEX/Gurobi),"Denver, CO•Remote","Up to $112,700 a year"
Uplight,Data Scientist,"Denver, CO 80203 (Capitol Hill area)","$95,000 - $107,000 a year"
